Company Name,Stock Name,Filing Time,New Product,Product Description
Eli Lilly and Company,LLY,2023-12-06T12:13:06-05:00,LYPANA,Lypana is a once-daily, subcutaneous injection of luspatervir for the treatment of fibrosis caused by idiopathic pulmonary fibrosis (IPF)
Xperi Corporation,XPER,2023-10-30T13:02:02-04:00,HDMI 2.1 Alternate Mode (AV1),Support for next-generation video encoding
BIOX 1800 LLC,BXRX,2023-08-30T12:25:43-04:00,Biox 1800,New antibiotic
Siemens AG,SIE,2023-08-18T06:01:26-04:00,Xray System,New Xray system with improved image quality and reduced radiation exposure
Bayer AG,BAYN.F,2023-05-19T06:01:19-04:00,Bayer Launches New Oral Anticoagulant Therapy in the US Market,Xarelto 20mg/80mg Tablets
DELL INC,DELL,2025-01-14T16:57:51-05:00,Spectre X3 Pro,Thin and Light 13-Inch Laptop with Up to 12 Hours of Battery Life
Dell Technologies Inc.,DELL,2024-07-02T16:10:22-04:00,PowerEdge MX 3.0 Server Platform,Dell offers a new power edge mx server platform that provides expanded capabilities and improved performance.
Dell Technologies Inc.,DELL,2024-01-30T16:10:30-05:00,PowerEdge MX 3.0 Tower Server,Next-generation tower server designed for high-density computing environments.
DVR Technology Inc.,DVN,2024-12-09T07:11:53-05:00,DVNA-001 Smart Glass Display,A revolutionary smart glass display for enhanced visual experience and user interaction.
Dyson Ltd.,DVN,2024-11-05T16:15:01-05:00,Ammonia-powered vacuum cleaner,A revolutionary new cleaning technology
Catalyst Biosciences, Inc.,CBIO,2024-07-08T16:15:59-04:00,CBP-711 in Hereditary Angioedema,CBP-711 for the treatment of hereditary angioedema
Vestas Wind Systems A/S,VWDRY,2023-03-28T16:31:05-04:00,V150-5.2 MW Offshore Wind Turbine,A 5.2 MW offshore wind turbine designed for larger projects.
Dexcom, Inc.,DXCM,2025-03-10T08:31:23-04:00,Dexcom Tornio CGM System,New continuous glucose monitoring system with advanced sensor technology
Dexasense Technologies Inc.,DXCM,2025-03-07T16:30:19-05:00,DS-1000 ,A new sensor solution for industrial automation applications.
DUSA Pharmaceuticals Inc.,DXCM,2024-12-23T16:05:42-05:00,Doxycycline hyclate tablet, USP 100 mg for oral use,new oral formulation of doxycycline
Intergraph Incorporated,IXI,2024-05-24T16:12:45-04:00,Smart3D Enterprise 2.0,Enhanced collaboration and data management capabilities for construction projects.
Dexcom, Inc.,DXCM,2024-02-15T16:15:27-05:00,Dexcom G6 X3 continuous glucose monitoring system,A new version of the popular CGM system with enhanced features and accuracy.
Intel Corporation,INTC,2024-02-08T16:03:15-05:00,Ice Lake P Core 9th Gen Processor,A new line of processors with improved performance and efficiency
Microchip Technology Incorporated,MCHP,2023-11-02T16:19:16-04:00,Spectra-FIX,High-reliability, ultra-low latency memory interface solution for automotive applications.
Durect, Inc.,DXCM,2023-10-26T16:04:04-04:00,BRAIN STIMULATOR,BRAIN STIMULATOR FOR TREATMENT OF NEUROLOGICAL DISORDERS
Dexcom Holdings, Inc.,DXCM,2023-05-19T17:01:31-04:00,G7 Continuous Glucose Monitoring System,New G7 CGM system with 7-day battery life and improved accuracy
Doxim Inc.,DXCM,2023-05-05T17:16:52-04:00,DocuBridge v4.5,Enhanced document processing and analysis capabilities
FANG,FANG,2025-03-20T16:42:43-04:00,Everbear 3.0,Next-gen energy storage system
FANG,FANG,2024-08-05T16:06:41-04:00,NeuroCore,Advanced brain-computer interface technology
Deliveroo,DLR,2024-12-23T17:15:03-05:00,Deliveroo Eats 2.0,Enhanced food ordering and delivery experience
DLR Technology Inc.,DLR,2024-11-12T16:02:07-05:00,DLR-X3000,Advanced AI-powered drone for industrial inspection and surveillance
Delfinco Oil & Gas Corp.,DLR,2024-09-09T06:05:04-04:00,Delfinco's New Shale Play Discovery,Discovery of new shale play in the Permian Basin with potential for significant oil production.
Pfizer Inc.,PFE,2024-07-25T16:09:41-04:00,Eli Lilly and Company announces a new product, DReliance 2025, for the treatment of chronic kidney disease.,A novel oral medication targeting the renin-angiotensin system.
DLR Technologies Inc.,DLR,2024-05-10T16:16:11-04:00,NexGen Solar Panel,High-efficiency solar panel for residential and commercial use.
DLR Technology Inc.,DLR,2024-02-23T17:14:13-05:00,DLR's Smart Bike Helmet,A safety-enhanced, AI-powered bike helmet with integrated crash detection and alert systems.
DLROtherway Inc.,DLR,2024-02-15T16:12:41-05:00, DLROtherway Inc. Announces New Product Launch  \n  DLR-1000 Series ,A series of industrial robots designed for precision and efficiency
DFS,DFS,2024-09-13T16:33:43-04:00,DFS (Dutch Harbor Fish Oil Supplements),Adds three new products to the line of fish oil supplements
DFS,DFS,2024-06-14T16:40:27-04:00,DFS Tokenizes its Software Assets Through a Blockchain Platform.,The DFS Company is tokenizing its software assets through a blockchain platform.
DFS Systems Inc.,DFS,2024-05-14T16:24:37-04:00,DFS 1500 Series Desktop Computer,A compact, powerful desktop computer designed for gaming and content creation.
Dietary Products Inc.,DG,2024-03-14T07:01:44-04:00,Revitalight 2.0,Next-generation, energy-efficient lighting system for commercial and residential spaces.
Dole Food Company Inc.,DG,2024-02-14T17:00:45-05:00,New tropical fruit juice blend,A new line of 100% tropical fruit juices with added probiotics and plant-based protein
Dunkin' Brands Group, Inc.,DNKN,2023-08-31T07:04:49-04:00,Dunkin' Mobile Ordering with Smart Bike Lock Integration,Convenient mobile ordering and smart bike lock integration for Dunkin' Rewards members
Devon Energy Corporation,DVN,2023-03-16T07:06:53-04:00,Enhanced EOR Technologies for the Perdido Area Project,Enhanced Oil Recovery (EOR) technologies to improve recovery efficiency
D.G. Nutrition LLC,DG,2023-02-23T07:05:30-05:00,Oat Crunch Protein Bar,a plant-based protein bar made with oat protein and other natural ingredients
Dillard's, Inc.,DLTR,2024-12-04T16:42:23-05:00,FASHION RETAIL EXPERIENCE PLATFORM,a new e-commerce platform to enhance the shopping experience for customers
DLTR,DLTR,2024-08-21T16:07:26-04:00,DLTR,Smart & Sustainable Packaging Solution
Delivray Inc.,DLTR,2024-05-22T07:43:10-04:00,DLTR-001-02,New product for direct-to-consumer delivery of food products.
Dillard's, Inc.,DLTR,2024-05-10T16:06:09-04:00,Upscale Home Decor Collection,Exclusively designed home decor items for a refined living space
DANAHER CORPORATION,DHR,2025-02-27T16:34:44-05:00,Danaher Corporation Announces New Line of Precision Fluid Handling Products,Enhanced fluid handling solutions for industrial and laboratory applications.
Duck Dynamics Inc.,DDY,2025-01-27T13:00:18-05:00,Duck Dynamics Introduces DuckTron 5000,High-performance drone system for industrial applications
Dana Incorporated,DAH,2024-12-02T16:12:01-05:00,Enhanced Off-Highway Tires,Introducing the next generation of off-highway tires with improved traction and durability.
DECKERS INC.,DECK,2024-11-16T17:09:04-05:00,Durable Water Repellent Tech for Boots,Enhanced waterproofing technology integrated into select boots
Duckwall Pace Holdings Inc.,DPH,2024-10-25T16:45:53-04:00,SmartHomePro 2.0,Enhanced smart home automation system
Dana Incorporated,DAH,2024-06-07T16:20:19-04:00,Aerographite-based aluminum lightweight composites for the automotive industry,new composites to improve fuel efficiency and reduce vehicle weight
Dexcom, Inc.,DXCM,2024-06-03T16:15:31-04:00,iPro2,Continuous glucose monitoring system
DexCom, Inc.,DXCM,2024-05-03T16:43:01-04:00,dxtEND ,new software feature to enable expanded use cases for dxtEND remote glucose monitoring system
Dana Inc.,DAN,2024-05-02T07:33:52-04:00,Ultra-High Molten Iron Furnace Technology,Enhanced iron production process
Dunkin' Brands Group, Inc.,DPZ,2025-02-20T16:16:12-05:00,Dunkin' Mobile App Upgrades,Upgrade of Dunkin' mobile app with new features and functionality
Panera Bread Company, Inc.,DPZ,2024-10-22T16:10:28-04:00, Panera Bread to launch a new breakfast sandwich,A new breakfast sandwich featuring scrambled eggs and turkey sausage on a toasted brioche bun
Domino's Pizza Inc.,DPZ,2024-02-26T16:01:56-05:00,Electric vehicle delivery service,Domino’s is expanding its delivery capabilities with a new electric vehicle delivery service, allowing for faster and more sustainable delivery options.
Dunkin' Brands Group, Inc.,DPZ,2024-02-26T06:23:36-05:00,Oatmilk Swirl Cold Brew Beverage,New oatmilk swirled cold brew beverage
Domino's Pizza Inc.,DPZ,2023-10-12T06:01:14-04:00,Pan Pizza Kit,A kit containing a pre-made crust and sauce for customers to top with cheese and toppings
Panera Bread Company,DPZ,2023-07-24T16:05:54-04:00,Panera Bread Cafe by Alamo Drafthouse,Restaurant chain partners with Alamo Drafthouse to create immersive dining experience
Dunkin' Brands Group, Inc.,DPZ,2023-04-27T16:06:04-04:00,Dunkin' Brand Digital Ordering System,Digital ordering system for Dunkin' restaurants
Dover Corporation,DOV,2024-10-08T17:17:01-04:00,Nexan 3.0 UV Inactivator,A new line of UV inactivation systems for water treatment
Dover Corporation,DOV,2024-07-25T06:33:43-04:00,Vantage S Series,New line of skid-steer loaders with improved productivity and efficiency
Dooley Industries Inc.,DOV,2024-05-08T17:01:07-04:00,DOV Introduces New Line of Eco-Friendly Cleaning Products,A new line of plant-based cleaning products designed to reduce environmental impact
DOV Industries, Inc.,DOV,2023-07-25T06:34:01-04:00,Dovetail Surgical System,A novel surgical system for laparoscopic procedures.
Dow Inc.,DOW,2025-02-25T08:27:56-05:00,Bromine-based Chemicals,Production of brominated compounds for various industrial applications.
Dow Inc.,DOW,2025-01-30T06:04:16-05:00,Dowfend,A new line of fireproof fabrics for high-performance applications.
Dow Inc.,DOW,2024-09-12T08:45:28-04:00,Breakthrough Low-Carbon Concrete Technology,A new sustainable concrete solution reducing carbon emissions up to 70%.
Dow Inc.,DOW,2024-07-25T07:04:43-04:00,Break-Free Ultra Plus,New Ultra-High Molecular Weight Polyethylene (UHMWPE) Resin for Pipeline Construction
D.R. Horton, Inc.,DHI,2025-02-26T16:51:48-05:00,Urban Edge Series,new single-family home communities
D.R. Horton, Inc.,DHI,2025-01-21T13:08:42-05:00,Aperture II Smart Home System,A smart home system with advanced automation and energy management capabilities
D.R. Horton, Inc.,DHI,2023-10-30T17:12:03-05:00,NextGen,Modular home building technology
D.R. Horton, Inc.,DHI,2024-12-23T17:11:02-05:00,NewModulo,New Modulo product line with a focus on affordability and customization options
D.R. Horton, Inc.,DHI,2024-11-01T16:15:55-04:00,The Smart Home,A smart home technology solution for enhanced convenience and security.
D.R. Horton, Inc.,DHI,2024-10-29T11:45:37-04:00,Beechmark Collection,new home community featuring modern designs and amenities
D.R. Horton, Inc.,DHI,2024-09-03T13:02:29-04:00,D.R. Horton, Inc. Announces New Modular Home Community in Nashville, Tennessee,The new community features a range of modular home options and is designed to meet the growing demand for affordable housing in Nashville
D.R. Horton, Inc.,DHI,2024-08-14T17:00:59-04:00,New product release announced for the community of Limestone Creek in Haysville, Kansas,Single-family homes and townhomes starting at $443,900
D.R. Horton, Inc.,DHI,2024-08-14T08:45:58-04:00,NewHome by D.R. Horton,A new homebuying experience featuring digital design tools and a streamlined home-buying process.
D.R. Horton, Inc.,DHI,2024-04-18T11:34:30-04:00,New Home Communities in Florida and Georgia,expansion of its new home communities in the southeastern United States
D.R. Horton, Inc.,DHI,2024-02-21T17:16:55-05:00,Modular Home Options,Modular home designs available on select D.R. Horton communities.
DHI,DHI,2024-01-23T12:30:27-05:00,Oxford,New Oxford Smart Floor
D.R. Horton, Inc.,DHI,2023-10-12T17:17:32-04:00,The Reserve at Cedar Hill,Single-family homes with 2 to 4 bedrooms
DTE Energy Company,DTE,2025-01-07T16:18:17-05:00,Lumina Electric Vehicles,Electrified powertrain for commercial fleets
DTE Energy Company,DTE,2024-07-25T06:50:58-04:00,Electric Vehicle Charging Infrastructure,Expansion of EV charging stations across Michigan.
Duke Energy Corporation,DUK,2025-02-03T17:04:14-05:00,Electric vehicle charging station,New EV charging station to support growing demand for sustainable energy solutions.
Duke Energy Corporation,DUK,2024-01-31T10:14:34-05:00,Smart Thermostats and Home Automation Solutions,Integration of smart thermostats with home automation to increase energy efficiency.
DELL INC.,DD,2024-11-05T06:08:57-05:00,Alienware Aurora R13 Desktop PC,Dell Technologies announced Alienware Aurora R13 desktop PCs, featuring customizable designs, 18th Gen Intel Core processors, and NVIDIA GeForce RTX 40 series graphics.
Dana Incorporated,DD,2024-07-31T06:07:06-04:00,ACUITY ADHESIVE SOLUTIONS FOR AUTOMOTIVE SECTOR,New adhesive solutions for the automotive sector, featuring improved thermal stability and durability.
Dollar Shave Club Inc.,DD,2024-06-27T16:04:22-04:00,Electric Toothbrush With Long Lasting Battery Life,The Electric toothbrush features a long-lasting battery that lasts for up to 14 days on a single charge.
Duke Energy Corporation,DUK,2024-06-07T08:07:32-04:00,EcoPlus,A new generation of smart grid technology to enhance energy distribution and customer experience.
Deere & Company,DEER,2023-11-01T06:08:39-04:00,Smart Lawn Mower,Autonomous lawn mowing system for efficient and precise cutting
Altria Group Inc.,MO,2023-08-02T14:00:00-04:00,MarkTen Cigalou Mint Tobacco Flavor Hard Packs,New MarkTen Cigalou mint tobacco flavor hard packs
Dana Incorporated,DD,2023-05-02T06:10:21-04:00,Lighting Solutions,Launch of new lighting solutions for the commercial construction market
Energizer Holdings Inc.,EMN,2025-01-30T16:17:44-05:00,New line of cordless power tools,The new line offers increased battery life and faster charging
Emergent Health Technologies, Inc.,EMN,2024-08-12T16:36:55-04:00,NexGen,Non-invasive treatment for neurological disorders
ECLInfo Solutions, Inc.,ECLIF,2024-02-26T16:45:39-05:00,QuantConnect 2.0,Enhanced trading and investment platform
ECL Info Services, Inc.,ECL,2024-02-22T17:08:11-05:00,AI-Powered Risk Management Platform,A cutting-edge AI platform designed to help businesses identify and mitigate risks more effectively
ECL InfoServ Corp,ECL,2024-02-13T08:07:04-05:00,ECL's new smart home security system,AI-powered security monitoring and automation
ECL InfoServ, Inc.,ECLN,2023-08-01T10:35:04-04:00,ECI-1010,new diagnostic imaging agent for the detection and monitoring of neurodegenerative diseases
ECLINFO Services Inc.,ECL,2023-05-10T17:15:26-04:00,Smart Water Meter,Advanced water management and conservation
ECL Information Systems Inc.,ECLSF,2023-05-04T16:25:00-04:00,Virtual Assist Program,An AI-powered virtual assistant to help with daily tasks.
ECL Info Services Inc.,ECL,2022-11-18T17:10:21-05:00,Data Analytics Platform,Enhanced data analytics and reporting capabilities for customers.
Con Edison Holdings Inc.,EIX,2025-02-10T16:15:22-05:00,Green Grids Energy Storage System,Advanced energy storage solution for grid stability and resilience.
Entergy Corporation,EIX,2024-10-29T18:30:35-04:00,NextGen Energy Storage Systems,A new line of energy storage solutions for residential and commercial customers
NextEra Energy, Inc.,NEE,2024-08-29T07:30:30-04:00,EPRI's Smart Grid Solution,Enhanced weather-resistant design and increased reliability for utility-scale solar projects.
Con Edison,EIX,2024-07-25T18:30:44-04:00,Smart Home Energy Management System,Advanced energy monitoring and automation for enhanced home efficiency
NextEra Energy, Inc.,NEE,2024-07-25T16:07:55-04:00,NextEra Energy Resources' 1.2 GW solar project in Kansas,A new solar energy project in Kansas
Con Edison,EIX,2024-02-22T16:07:07-05:00,Enhanced Electric Vehicle Charging Stations,Expansion of EV charging infrastructure across NYC
ELAVAGEN PHARMACEUTICALS INC,ELAV,2024-10-24T16:28:37-04:00,ELAVAGEN 2.0 Oral Suspension,Enhanced formulation of ELAVAGEN for easier dosing and administration.
E W Garment Co Inc,EW,2024-06-17T17:01:17-04:00,New product announced,New product to be sold in summer collection
Everspin Technologies, Inc.,EW,2024-05-08T16:52:48-04:00,SpinQ 3.0,Next-generation spin transfer torque (STT-MRAM) technology for embedded systems
EnergyFocus Inc.,EW,2023-12-07T08:37:07-05:00,Smart Home Energy Monitoring System,Intelligent energy management solution for residential and commercial customers.
Electronic Arts Inc.,EA,2024-10-29T16:06:07-04:00,EA Sports UFC 8,"Next-generation mixed martial arts game for PlayStation 5, Xbox Series X,S and PC."
EA,EA,2023-08-01T16:07:47-04:00,EA Play Ignite,Enhanced Cloud Gaming Platform
ELV Systems Inc.,ELV,2025-01-23T06:03:24-05:00,NeuroCore 2.0,Advanced AI-powered brain-computer interface
Eli Lilly and Company,ELV,2024-10-31T16:15:58-04:00,emfizmaTM (emfizma ), a new treatment option for adults with type 2 diabetes,A new treatment option for adults with type 2 diabetes
Elavon Inc.,ELV,2024-10-17T06:02:29-04:00,EMV Token Manager for Healthcare Providers,Enhanced EMV token management solution for healthcare providers
Eversource Inc,ELV,2024-07-17T06:09:34-04:00,Grid Modernization Services,Eversource is expanding its energy solutions with the launch of Grid Modernization Services, designed to help utilities and energy companies upgrade their grid infrastructure.
Everspin Technologies Inc.,ELV,2024-05-30T16:45:02-04:00,Scalable Magnetic RAM,Commercialization of low power, high speed memory technology
Elavon Inc.,ELV,2024-04-18T06:07:53-04:00, Contactless Payment Solution for Restaurants,A new, contactless payment solution designed specifically for restaurants and foodservice providers.
Eluvia Inc.,ELV,2024-01-25T17:20:52-05:00,Pico,A new portable, implantable device for treating tinnitus
ELV Systems, Inc.,ELV,2024-01-24T06:04:59-05:00,EcoCycle - a line of water purification systems for homes and businesses,Environmentally friendly technology to remove contaminants from water sources
ELV FUNDING Corp.,ELVF,2023-10-18T06:05:00-04:00,New Single-Family Rentable Properties in California,Development of new single-family rentable properties in California.
Elon Musk's SpaceX,ELV,2023-09-20T11:38:28-04:00,Starship v2.0,Upgraded propulsion system for deep space missions.
Elevate Bio, Inc.,ELV,2023-07-19T06:04:51-04:00,ELV's ELVIQ for the treatment of moderate to severe psoriasis has been approved by the FDA.,New Treatment Option for Psoriasis
EMRA Inc.,EMR,2025-03-12T17:12:26-04:00,EMR's TrueSight 3.0,Enhanced AI-powered diagnostic tool for early disease detection and treatment optimization.
EMRA Inc.,EMR,2025-03-10T07:11:17-04:00,ReviveRT,Advanced non-invasive diagnostic tool for respiratory diseases
EMRAJ Inc.,EMR,2025-02-28T16:12:29-05:00,EMR-001: A Novel Therapeutic for Neurological Disorders,A new therapeutic agent targeting multiple pathways for neurodegenerative diseases.
EMRAJ Inc.,EMR,2025-02-07T16:18:53-05:00,EMA-1022,Anti-PD-1 Monoclonal Antibody for Treatment of Solid Tumors
EMRA Inc.,EMR,2024-05-08T06:52:28-04:00,Epicenter MRI,New high-field strength MRI technology
EMRA Inc.,EMR,2024-02-09T16:06:02-05:00,EMRA's Next Gen MRI Scanner,Advanced magnetic resonance imaging technology for enhanced diagnostic accuracy.
EMERSON ELECTRIC CO INC,EMR,2024-02-07T06:54:42-05:00,SmartPlug Wi-Fi Smart Plug with USB Ports for Smart Home Devices,Smartplug Wi-Fi smart plug with two USB ports, supporting fast charging and Wi-Fi connectivity
Enphase Energy Inc.,ENPH,2025-02-04T16:07:10-05:00,eQ4 Plus,Enhanced inverter for residential solar systems
Enphase Energy, Inc.,ENPH,2024-11-08T16:09:25-05:00,EcoPlus 2.0,Enhanced solar plus storage system for residential and commercial customers.
Enphase Energy Inc.,ENPH,2024-07-23T16:06:46-04:00,Energy Storage System,GridConnect Pro with Energy Storage
Enphase Energy, Inc.,ENPH,2024-04-23T16:06:50-04:00,EcoPlus 3.0 Platform,upgraded energy storage solutions
Enphase Energy, Inc.,ENPH,2024-04-04T16:13:51-04:00,EcoPlus 3.0,new inverter technology
Enphase Energy Inc.,ENPH,2024-02-06T16:06:54-05:00,Suntech Plus,A 2.5 MW solar energy storage system
Enphase Energy Inc.,ENPH,2023-12-18T16:44:37-05:00,EcoPlus II,Utility-scale solar plus storage energy storage system for commercial and industrial customers
Enphase Energy Inc.,ENPH,2023-10-26T16:06:36-04:00,eQuity,an AI-powered solar monitoring and optimization platform for residential customers.
Enphase Energy, Inc.,ENPH,2023-05-22T16:20:13-04:00,SimpliPhasor SC 2.0,Enhanced photovoltaic inverter technology
Enphase Energy Inc.,ENPH,2022-05-20T16:12:40-04:00,EcoPlus Pro,High-efficiency solar-plus-storage system
Exxon Mobil Corporation,XOM,2025-02-20T17:05:38-05:00,Nexad product upgrade,Enhanced lubricant formulation for improved engine efficiency
eTECH Systems Inc.,ETR,2024-12-06T16:30:08-05:00,eTECH-X1,High-performance, AI-powered diagnostic tool for medical imaging.
Intel Corporation,INTC,2024-05-24T09:04:21-04:00,Fusion Lake 3,new high-performance CPU core design
AstraZeneca PLC,AZN,2024-05-23T11:59:31-04:00,Emgality Biosimilars in Development,Biological-based treatment for migraines.
Xerox Corporation,XRX,2024-05-06T16:12:59-04:00,ColorQube 9200,High-speed color copier
EPAM Systems Inc.,EPAM,2022-11-02T20:07:55-04:00,Omnichannel Platform,EPAM's new omnichannel platform to help retailers thrive in the digital age
EQT Corporation,EQT,2025-02-24T16:09:43-05:00,EQT's new low-emission hydrogen fuel cell technology, revolutionary technology for clean energy generation
EQT Midstream Partners, LP,EQT,2024-12-31T16:15:33-05:00,EPIC 2.0 Pipeline Enhancement Project,Enhancements to the EPIC 2.0 pipeline, increasing its capacity by approximately 10%.
EQT Midstream Partners, LP,EQT,2024-11-25T06:30:17-05:00,Honey Creek 3 Expansion Project,Midstream pipeline expansion project
EQT Midstream Partners, LP,EQT,2024-10-17T16:15:41-04:00,Honey Creek Expansion Project,Expansion of the Honey Creek pipeline to increase capacity
EQT Midstream Partners, LP,EQM,2024-07-23T16:30:24-04:00,EPIC-X,Enhanced Pipeline Interconnectivity Capability
EFX,EFX,2024-07-17T16:11:34-04:00,EFX's new product,A new financial management software
EFX,EFX,2023-10-20T16:15:30-04:00,EFX Announces Launch of New Cybersecurity Solution,Advanced threat protection and incident response for enterprise networks
EFX,EFX,2023-05-08T17:23:57-04:00,EFX's new product is NeuroSpark,NeuroSpark is a novel treatment for neurodegenerative diseases
Equinix Inc.,EQIX,2024-09-13T17:10:25-04:00,N+1 Data Centers Expansion,Expansion of N+1 Data Center portfolio
Equinix Incorporated,EQIX,2024-08-22T17:13:26-04:00,Equinix Launches New Edge Data Center in Denver,A new edge data center providing low-latency and high-performance computing for cloud and content delivery services.
Equinix Inc.,EQIX,2024-02-27T16:05:47-05:00,EdgeConneX 7.0,Enhanced interconnection services for cloud and edge computing
EQR Capital LLC,EQR,2024-12-18T16:05:33-05:00,New Product Name: EQR's First-Ever Battery Energy Storage System,A leading-edge battery energy storage system designed for commercial and industrial applications.
EQR Capital Corporation,EQR,2024-09-04T16:18:26-04:00,Bac2Vac Covid 19 vaccine,Announcement of a new Bac2Vac Covid 19 vaccine for children aged 5 to 11 years old.
EQR Capital Management, LLC,EQR,2024-05-28T16:25:47-04:00,EQR's new product, a municipal bond fund called the EQR Municipal Bond Fund (EMBF),A closed-end investment vehicle that invests in municipal bonds.
EQR Capital, LLC,EQR,2023-11-09T16:46:41-05:00,Hybrid Cloud Solution for Healthcare Providers,A comprehensive platform offering integrated cloud services and cybersecurity measures to enhance data protection and collaboration.
Erie Industries Inc.,ERIE,2024-12-12T16:10:14-05:00,Solar Shield 3.0,A new line of heavy-duty solar panels for the construction industry.
Erie Industries Inc.,ERIE,2024-02-26T16:20:21-05:00,Smart Water Meter,Introduces advanced smart water meter technology for efficient and secure water usage management.
Erie Insurance Group Inc,ERIE,2023-12-06T16:26:20-05:00,Mythos,Artisanal craft beer
Erie Industries Inc.,ERIE,2023-07-27T16:20:20-04:00,NextGen Solar Inverter,High-efficiency, AI-powered solar inverter for residential and commercial use
Erie Industries Inc.,ERIE,2022-11-17T16:08:06-05:00,Enhanced Electric Range,Smart cooking range with advanced electric heating and cooling system.
Erie Industries, Inc.,ERIE,2022-07-28T16:23:26-04:00,Innovator II Air-Powered Scissor Lift,A new air-powered scissor lift designed for construction and industrial applications.
ESSICION, Inc.,ESSC,2024-10-11T14:01:02-04:00,Omicello II Therapeutic,Phase I clinical trial for treatment of obsessive-compulsive disorder
Essentia Therapeutics, Inc.,ESSC,2023-04-13T14:59:02-04:00,ESSC 302-ESK 100mg/5mL Solution for Intravenous Use,New treatment option for sickle cell disease.
Essential Skills Solutions Inc.,ESS,2024-05-31T16:29:47-04:00,AI-Powered Cybersecurity Platform,Enhanced threat detection and incident response capabilities
ESS Continental Holdings Inc.,ESSC,2024-04-30T16:41:00-04:00,ESS CONTINENTAL HOLDINGS INC. ANNOUNCES NEW ESS CONTINENTAL 9000 SERIES ENGINES FOR TRUCKING APPLICATIONS,New engine series for trucking applications
Essentra plc,ESS,2024-03-14T16:15:44-04:00,Essentra's new range of nail enhancement products,New product launch with improved durability and finish
ESSCOMBIO Technologies Inc.,ESSC,2024-03-08T16:26:19-05:00,Essential Microbe Solution for Human Health,A new probiotic supplement for gut health and immune system support.
Elon Musk Inc.,EL,2024-12-04T16:34:17-05:00,Starship 3.0 Launch,High-speed interplanetary spacecraft
ELA Systems Inc.,EL,2024-11-13T16:02:05-05:00,Smart Home Security System,Introducing the EL Smart Home Security System, a comprehensive solution for home and business security.
ELAN MICRObiology Holdings Inc,ELN,2024-08-19T18:53:36-04:00,ELAN COVID-19 Antiviral Treatment for Children Under 5 Years Old,An oral antiviral treatment to prevent severe illness and hospitalization from COVID-19 in children under 5 years old.
Eli Lilly and Company,EL,2024-07-23T17:08:31-04:00,emaritapant,oral treatment for acute angioedema
Elon Musk Inc.,EL,2024-07-23T17:07:23-04:00,Starship,Reusuable orbital rocket system
ELCO Energy Corporation,ELC,2024-07-16T10:30:31-04:00,Quantum Flux Generator,Compact, sustainable energy source for consumer and commercial applications
EVRG,EVRG,2025-02-27T07:00:44-05:00,EVrg-3000,Portable energy solution for off-grid applications
EVRG,EVRG,2024-08-26T07:26:35-04:00,Vysia CR1,A new investigational, oral anticoagulant therapy for patients with atrial fibrillation.
Eli Lilly and Company,LLY,2024-12-06T10:08:47-05:00,Benzocaine Laxative Tablets, USP; an oral laxative that targets gastrointestinal motility to treat constipation in adults.,Oral laxative for constipation treatment
ESI Inc.,ES,2024-11-08T17:20:30-05:00,Sierra 6.0,AI-powered digital twin platform for industrial operations optimization.
ES,ES,2024-04-18T16:06:11-04:00,X1 Smartwatch,Smartwatch with advanced health monitoring and fitness tracking features
Esperon Therapeutics, Inc.,ESPT,2024-01-24T17:23:35-05:00,Eptifibatide Vialus (vials),Eptifibatide Vialus is a formulation of eptifibatide, the active ingredient in Aggrastat, with a novel vial design for improved infusion and dosing.
Excision Therapeutics Inc.,EXC,2025-02-12T06:56:32-05:00,excision-101,small molecule therapy for cancer treatment
Excision Corp.,EXC,2024-12-03T09:05:46-05:00,Quinapastat Hydrochloride 40mg/5mL Solution,A novel, topical treatment for psoriasis and atopic dermatitis.
Excelsius Pharmaceuticals Inc.,EXC,2024-10-30T06:53:07-04:00,Excelsior XR,Oral medication for opioid use disorder
Excisionx Inc.,EXC,2024-05-03T16:02:32-04:00,EXC-1000 Smart Contact Lens,A revolutionary, high-definition smart contact lens for enhanced vision and augmented reality capabilities.
Excision Corporation,EXC,2024-05-02T06:53:09-04:00,EpiPen Junior,Portable epinephrine injector designed for children and teenagers.
EXC,EXC,2024-02-06T16:10:30-05:00,Lysosomal Storage Diseases Treatment,New oral therapy for lysosomal storage diseases in clinical trials
EXCERPTORY INDUSTRIES INC.,EXC,2023-12-18T16:05:33-05:00,NexGen X5,A new line of high-performance, eco-friendly batteries
EXC,EXC,2023-11-02T06:55:26-04:00,Covidien Acquires Stryker Orthopedics and Spine Business,Acquisition of Stryker Orthopedics and Spine Business
Expedia Group, Inc.,EXPE,2024-09-11T08:52:16-04:00,TripPass,Expedia's TripPass is a new product offering that provides users with a flexible and cost-effective way to book travel
Expedia Group, Inc.,EXPE,2024-08-08T16:02:36-04:00,TripMatch,AI-powered travel booking technology
Expedia Group, Inc.,EXPE,2024-05-02T16:02:24-04:00,TripMatch,Enhanced travel recommendation engine.
Experiential Growth Corporation,EXPE,2024-02-08T16:02:19-05:00,VR Chat Expansion,Enhanced VR social platform with improved graphics and AI-powered chat functionality
Expedia Group, Inc.,EXPE,2023-11-02T16:03:00-04:00,Traveler,Travel planning and booking capabilities for consumers
Expedia Group, Inc.,EXPE,2023-06-02T16:35:06-04:00,TripPass,TripPass is a new product that provides users with exclusive discounts on travel bookings
